iso_code,continent,location,date
AFG,Asia,Afghanistan,24-02-2020
AFG,Asia,Afghanistan,25-02-2020
AFG,Asia,Afghanistan,26-02-2020
AFG,Asia,Afghanistan,27-02-2020
AFG,Asia,Afghanistan,28-02-2020
AFG,Asia,Afghanistan,29-02-2020
AFG,Asia,Afghanistan,01-03-2020
AFG,Asia,Afghanistan,02-03-2020
AFG,Asia,Afghanistan,03-03-2020
AFG,Asia,Afghanistan,04-03-2020
AFG,Asia,Afghanistan,05-03-2020
AFG,Asia,Afghanistan,06-03-2020
AFG,Asia,Afghanistan,07-03-2020
AFG,Asia,Afghanistan,08-03-2020
AFG,Asia,Afghanistan,09-03-2020
AFG,Asia,Afghanistan,10-03-2020
AFG,Asia,Afghanistan,11-03-2020
AFG,Asia,Afghanistan,12-03-2020
AFG,Asia,Afghanistan,13-03-2020
AFG,Asia,Afghanistan,14-03-2020
AFG,Asia,Afghanistan,15-03-2020
AFG,Asia,Afghanistan,16-03-2020
AFG,Asia,Afghanistan,17-03-2020
AFG,Asia,Afghanistan,18-03-2020
AFG,Asia,Afghanistan,19-03-2020
AFG,Asia,Afghanistan,20-03-2020
AFG,Asia,Afghanistan,21-03-2020
AFG,Asia,Afghanistan,22-03-2020
AFG,Asia,Afghanistan,23-03-2020
AFG,Asia,Afghanistan,24-03-2020
AFG,Asia,Afghanistan,25-03-2020
AFG,Asia,Afghanistan,26-03-2020
AFG,Asia,Afghanistan,27-03-2020
AFG,Asia,Afghanistan,28-03-2020
AFG,Asia,Afghanistan,29-03-2020
AFG,Asia,Afghanistan,30-03-2020
AFG,Asia,Afghanistan,31-03-2020
AFG,Asia,Afghanistan,01-04-2020
AFG,Asia,Afghanistan,02-04-2020
AFG,Asia,Afghanistan,03-04-2020
AFG,Asia,Afghanistan,04-04-2020
AFG,Asia,Afghanistan,05-04-2020
AFG,Asia,Afghanistan,06-04-2020
AFG,Asia,Afghanistan,07-04-2020
AFG,Asia,Afghanistan,08-04-2020
AFG,Asia,Afghanistan,09-04-2020
AFG,Asia,Afghanistan,10-04-2020
AFG,Asia,Afghanistan,11-04-2020
AFG,Asia,Afghanistan,12-04-2020
AFG,Asia,Afghanistan,13-04-2020
AFG,Asia,Afghanistan,14-04-2020
AFG,Asia,Afghanistan,15-04-2020
AFG,Asia,Afghanistan,16-04-2020
AFG,Asia,Afghanistan,17-04-2020
AFG,Asia,Afghanistan,18-04-2020
AFG,Asia,Afghanistan,19-04-2020
